,Status,Address,City,Price,Property Type,Sub-Type,Building Size,Link,Year Built,Lot Size,Building Class,Cap Rate
1662,For Sale,"10330 Memory Ln, Chesterfield, VA","Chesterfield, Virginia","$225,000",Land,Commercial,,https://www.loopnet.com/Listing/10330-Memory-Ln-Chesterfield-VA/22159619/,,"42,689 SF",,
1663,For Sale,"130 E Main St, Purcellville, VA","Purcellville, Virginia","$2,500,000",Office,Loft/Creative Space,"8,040 SF",https://www.loopnet.com/Listing/130-E-Main-St-Purcellville-VA/21948034/,,,C,
1664,For Sale,"4238 Winchester Rd, Marshall, VA","Marshall, Virginia","$1,300,000",Land,Commercial,,https://www.loopnet.com/Listing/4238-Winchester-Rd-Marshall-VA/21479471/,,"226,512 SF",,
1665,For Sale,Portfolio of 4 Properties,"Annandale, Virginia","$3,000,000",Mixed Types,,"1,408 SF",https://www.loopnet.com/Listing/portfolio/21343563/,,,,
1666,For Sale,"Frogale Ct, Winchester, VA","Winchester, Virginia","$1,700,000",Land,Industrial,,https://www.loopnet.com/Listing/Frogale-Ct-Winchester-VA/21296777/,,"740,520 SF",,
1667,For Sale,"8850 Richmond Hwy, Alexandria, VA","Alexandria, Virginia","$13,700,000",Office,Office,"67,750 SF",https://www.loopnet.com/Listing/8850-Richmond-Hwy-Alexandria-VA/20910313/,,,B,
1668,For Sale,"9251 Lee Ave, Manassas, VA","Manassas, Virginia","$600,000",Office,Office,"1,700 SF",https://www.loopnet.com/Listing/9251-Lee-Ave-Manassas-VA/20557406/,,,B,
1669,For Sale,"1115 Garrisonville Rd, Stafford, VA","Stafford, Virginia","$3,990,000",Office,Office,"19,621 SF",https://www.loopnet.com/Listing/1115-Garrisonville-Rd-Stafford-VA/20277011/,,,B,
1670,For Sale,"5350 Shawnee Rd, Alexandria, VA","Alexandria, Virginia","$252,520 - $1,493,926",Office,Office,N/A,https://www.loopnet.com/Listing/5350-Shawnee-Rd-Alexandria-VA/19558611/,,,B,
1671,For Sale,"600 Independence Pky, Chesapeake, VA","Chesapeake, Virginia","$14,000,000",Office,Office,"96,162 SF",https://www.loopnet.com/Listing/600-Independence-Pky-Chesapeake-VA/18134812/,,,,8.10%
1672,For Sale,"12725 Apollo Dr, Woodbridge, VA","Woodbridge, Virginia","$416,150",Retail,Storefront Retail/Office,N/A,https://www.loopnet.com/Listing/12725-Apollo-Dr-Woodbridge-VA/18093198/,,,B,
