,Status,Address,City,Price,Property Type,Sub-Type,Building Size,Link,Year Built,Lot Size,Building Class,Cap Rate
25,For Sale,"11825 W Altadena Ave, El Mirage, AZ","El Mirage, Arizona","$349,000",Specialty,Residential Income,"1,090 SF",https://www.loopnet.com/Listing/11825-W-Altadena-Ave-El-Mirage-AZ/23116338/,,,,3.16%
26,For Sale,"14945-15047 N Highway 79, Florence, AZ","Florence, Arizona","$850,000",Multifamily,Mobile Home Park,"5,769 SF",https://www.loopnet.com/Listing/14945-15047-N-Highway-79-Florence-AZ/22380663/,,,,
27,For Sale,"2802 N Stone Ave, Tucson, AZ","Tucson, Arizona","$460,000",Retail,Convenience,"2,827 SF",https://www.loopnet.com/Listing/2802-N-Stone-Ave-Tucson-AZ/22165090/,,,B,
28,For Sale,"104-120 N Morley Ave, Nogales, AZ","Nogales, Arizona","$3,154,000",Retail,Retail,"30,000 SF",https://www.loopnet.com/Listing/104-120-N-Morley-Ave-Nogales-AZ/12863869/,,,,7.55%
29,For Sale,"9440 N 25th Dr, Phoenix, AZ","Phoenix, Arizona",Price Upon Request,Office,Office,"51,391 SF",https://www.loopnet.com/Listing/9440-N-25th-Dr-Phoenix-AZ/21984768/,,,C,
30,For Sale,"N Of US Rte 60 & E El Camino Viejo Intersection, Gold Canyon, AZ","Gold Canyon, Arizona",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/N-Of-US-Rte-60-E-El-Camino-Viejo-Intersection-Gold-Canyon-AZ/18754240/,,"648,608 SF",,
31,For Sale,"W/Swc McCartney Rd & Pinal Ave, Casa Grande, AZ","Casa Grande, Arizona",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/W-Swc-McCartney-Rd-Pinal-Ave-Casa-Grande-AZ/13869648/,,"60,984 SF",,
32,For Sale,"SWC Milton Rd & University Dr, Flagstaff, AZ","Flagstaff, Arizona",Price Upon Request,Retail,Retail,"5,000 SF",https://www.loopnet.com/Listing/SWC-Milton-Rd-University-Dr-Flagstaff-AZ/22330622/,,,B,
33,For Sale,"Beverly Ave @ Harrison Street, Kingman, AZ","Kingman, Arizona","$2,000,000",Land,Commercial,,https://www.loopnet.com/Listing/Beverly-Ave-Harrison-Street-Kingman-AZ/17104886/,,"392,040 SF",,
34,For Sale,Portfolio of 3 Properties,"Tucson, Arizona","$565,535",Land,,,https://www.loopnet.com/Listing/portfolio/3948813/,,"94,290 SF",,
35,For Sale,"6600 S Country Club, Tucson, AZ","Tucson, Arizona","$172,500",Land,Industrial,,https://www.loopnet.com/Listing/6600-S-Country-Club-Tucson-AZ/3894970/,,"31,463 SF",,
36,For Sale,"6600 S Country Club, Tucson, AZ","Tucson, Arizona","$172,500",Land,Industrial,,https://www.loopnet.com/Listing/6600-S-Country-Club-Tucson-AZ/3887301/,,"31,363 SF",,
52,For Sale,"915 Southwest Dr, Jonesboro, AR","Jonesboro, Arkansas","$950,000",Land,Commercial,,https://www.loopnet.com/Listing/915-Southwest-Dr-Jonesboro-AR/22381842/,,"64,033 SF",,
53,For Sale,"328 S Church St, Jonesboro, AR","Jonesboro, Arkansas","$695,000",Office,Office/Residential,"6,619 SF",https://www.loopnet.com/Listing/328-S-Church-St-Jonesboro-AR/21167379/,,,B,
54,For Sale,"502 SW A St, Bentonville, AR","Bentonville, Arkansas",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/502-SW-A-St-Bentonville-AR/15441468/,,"26,136 SF",,
55,For Sale,"3113 E Race Ave, Searcy, AR","Searcy, Arkansas","$2,977,000",Retail,Restaurant,"7,800 SF",https://www.loopnet.com/Listing/3113-E-Race-Ave-Searcy-AR/21642682/,,,,7%
56,For Sale,"682 S Government Ave, Fayetteville, AR","Fayetteville, Arkansas","$1,500,000",Specialty,Religious Facility,"17,300 SF",https://www.loopnet.com/Listing/682-S-Government-Ave-Fayetteville-AR/23506152/,,,B,
57,For Sale,Portfolio of 3 Properties,"Forrest City, Arkansas","$1,150,000",Office,,"19,261 SF",https://www.loopnet.com/Listing/portfolio/11186892/,,,,
64,For Sale,"3100 Meadowview Rd, Sacramento, CA","Sacramento, California",Price Upon Request,Land,Residential,,https://www.loopnet.com/Listing/3100-Meadowview-Rd-Sacramento-CA/23233133/,,"4,441,378 SF",,
65,For Sale,"1521 N Carpenter Rd, Modesto, CA","Modesto, California","$5,295,000",Office,Office,"26,300 SF",https://www.loopnet.com/Listing/1521-N-Carpenter-Rd-Modesto-CA/23070590/,,,B,
66,For Sale,Portfolio of 5 Properties,Multiple Cities,"$11,500,000",Mixed Types,,"17,441 SF",https://www.loopnet.com/Listing/portfolio/23751135/,,,,6.90%
67,For Sale,"325 Davis St, San Leandro, CA","San Leandro, California","$1,295,000",Office,Office,"4,004 SF",https://www.loopnet.com/Listing/325-Davis-St-San-Leandro-CA/23742134/,,,,6.25%
68,For Sale,"150 Steele Ln, Santa Rosa, CA","Santa Rosa, California","$4,300,000",Retail,Freestanding,"6,000 SF",https://www.loopnet.com/Listing/150-Steele-Ln-Santa-Rosa-CA/23703616/,,,,5.75%
69,For Sale,"2736 Garnet Ave, San Diego, CA","San Diego, California","$5,600,000",Retail,Fast Food,"2,308 SF",https://www.loopnet.com/Listing/2736-Garnet-Ave-San-Diego-CA/23690346/,,,,3.75%
70,For Sale,"903-917 H St, Bakersfield, CA","Bakersfield, California","$1,095,000",Office,Medical,"6,584 SF",https://www.loopnet.com/Listing/903-917-H-St-Bakersfield-CA/23665662/,,,,7.12%
71,For Sale,"3433 Glenhurst Ave, Los Angeles, CA","Los Angeles, California","$2,195,000",Multifamily,Apartment,"5,389 SF",https://www.loopnet.com/Listing/3433-Glenhurst-Ave-Los-Angeles-CA/23602488/,,,,
72,For Sale,"1690 Hayes Ave, Long Beach, CA","Long Beach, California","$895,000",Industrial,Manufacturing,"2,880 SF",https://www.loopnet.com/Listing/1690-Hayes-Ave-Long-Beach-CA/23534394/,,,B,
73,For Sale,Portfolio of 3 Properties,"Hanford, California","$27,613,802",Retail,,"445,130 SF",https://www.loopnet.com/Listing/portfolio/23517219/,,"1,741,964 SF",,10%
74,For Sale,"6315 Van Nuys Blvd, Van Nuys, CA","Van Nuys, California","$2,600,000",Retail,Storefront Retail/Office,"9,500 SF",https://www.loopnet.com/Listing/6315-Van-Nuys-Blvd-Van-Nuys-CA/23475603/,,,C,
75,For Sale,"570 S Mirage Ave, Lindsay, CA","Lindsay, California","$1,900,000",Hospitality,Hotel,"14,700 SF",https://www.loopnet.com/Listing/570-S-Mirage-Ave-Lindsay-CA/23472297/,,,,
76,For Sale,"1400 K St, Modesto, CA","Modesto, California","$1,400,000",Office,Office,"13,176 SF",https://www.loopnet.com/Listing/1400-K-St-Modesto-CA/23426969/,,,B,
77,For Sale,"900 S Harbor Blvd, Anaheim, CA","Anaheim, California","$14,900,000",Office,Office,"17,878 SF",https://www.loopnet.com/Listing/900-S-Harbor-Blvd-Anaheim-CA/23350139/,,,,7.20%
78,For Sale,"0 Domenigoni, Menifee, CA","Menifee, California","$950,000",Land,Commercial,,https://www.loopnet.com/Listing/0-Domenigoni-Menifee-CA/23336072/,,"87,556 SF",,
79,For Sale,Portfolio of 3 Properties,"Hemet, California","$5,840,000",Retail,,"39,796 SF",https://www.loopnet.com/Listing/portfolio/23194534/,,"141,570 SF",,7%
80,For Sale,"4505 Allstate Dr, Riverside, CA","Riverside, California","$2,599,000",Office,Office,"20,500 SF",https://www.loopnet.com/Listing/4505-Allstate-Dr-Riverside-CA/23098469/,,,,4.76%
81,For Sale,"9725 Charleville Blvd, Beverly Hills, CA","Beverly Hills, California","$6,350,000",Multifamily,Apartment,"10,951 SF",https://www.loopnet.com/Listing/9725-Charleville-Blvd-Beverly-Hills-CA/23098179/,,,,
82,For Sale,"825 9th St, Marysville, CA","Marysville, California","$695,000",Office,Medical,"7,690 SF",https://www.loopnet.com/Listing/825-9th-St-Marysville-CA/22911997/,,,,6.12%
83,For Sale,"2297 Niels Bohr Ct, San Diego, CA","San Diego, California","$16,600,000",Office,Office,"52,881 SF",https://www.loopnet.com/Listing/2297-Niels-Bohr-Ct-San-Diego-CA/22822465/,,,,7.19%
84,For Sale,"202 W Rialto Ave, San Bernardino, CA","San Bernardino, California","$1,469,100",Office,Office,"12,450 SF",https://www.loopnet.com/Listing/202-W-Rialto-Ave-San-Bernardino-CA/22693384/,,,C,
85,For Sale,"1886 S West Ave, Fresno, CA","Fresno, California","$225,000",Land,Commercial,,https://www.loopnet.com/Listing/1886-S-West-Ave-Fresno-CA/22605075/,,"54,450 SF",,
86,For Sale,"625 Larkin St, San Francisco, CA","San Francisco, California","$1,650,000 - $1,988,000",Multifamily,Apartment,N/A,https://www.loopnet.com/Listing/625-Larkin-St-San-Francisco-CA/22591547/,,"4,792 SF",,
87,For Sale,"435 W Mission Blvd, Pomona, CA","Pomona, California","$3,899,000",Office,Office,"27,638 SF",https://www.loopnet.com/Listing/435-W-Mission-Blvd-Pomona-CA/22576062/,,,B,
88,For Sale,"Gullane Dr @ Lahinch Lane, Santa Rosa, CA","Santa Rosa, California","$4,500,000",Land,Commercial,,https://www.loopnet.com/Listing/Gullane-Dr-Lahinch-Lane-Santa-Rosa-CA/22536856/,,"547,549 SF",,
89,For Sale,"14401 Calvert St, Van Nuys, CA","Van Nuys, California","$5,500,000",Land,Commercial,,https://www.loopnet.com/Listing/14401-Calvert-St-Van-Nuys-CA/22501146/,,"22,529 SF",,
90,For Sale,"960 W Mission Blvd, Pomona, CA","Pomona, California","$2,750,000",Office,Office,"10,682 SF",https://www.loopnet.com/Listing/960-W-Mission-Blvd-Pomona-CA/22303589/,,,B,
91,For Sale,"2250 Maple Ave, Los Angeles, CA","Los Angeles, California","$28,500,000",Industrial,Warehouse,"101,448 SF",https://www.loopnet.com/Listing/2250-Maple-Ave-Los-Angeles-CA/22273448/,,,B,
92,For Sale,"662-668 Clay St, San Francisco, CA","San Francisco, California","$17,000,000",Hospitality,Hotel,"26,268 SF",https://www.loopnet.com/Listing/662-668-Clay-St-San-Francisco-CA/22209301/,,,,
93,For Sale,"119 Cayuga St, Salinas, CA","Salinas, California","$625,000",Office,Office,"4,984 SF",https://www.loopnet.com/Listing/119-Cayuga-St-Salinas-CA/22167999/,,,C,
94,For Sale,"711 Annemarie Way, Isleton, CA","Isleton, California","$6,900,000",Land,Residential,,https://www.loopnet.com/Listing/711-Annemarie-Way-Isleton-CA/22149119/,,"2,178,000 SF",,
95,For Sale,"510 S Flower St, Santa Ana, CA","Santa Ana, California","$5,500,000",Multifamily,Apartment,"18,641 SF",https://www.loopnet.com/Listing/510-S-Flower-St-Santa-Ana-CA/22086178/,,,,
96,For Sale,"37304 Magee Rd, Pala, CA","Pala, California","$5,000,000",Land,Commercial,,https://www.loopnet.com/Listing/37304-Magee-Rd-Pala-CA/22078108/,,"1,869,160 SF",,
97,For Sale,"Appollo Way, Santa Rosa, CA","Santa Rosa, California","$511,240 - $1,094,485",Land,Commercial,,https://www.loopnet.com/Listing/Appollo-Way-Santa-Rosa-CA/21986671/,,"66,211 SF",,
98,For Sale,"2701 Barstow Rd, Barstow, CA","Barstow, California","$4,916,436",Office,Office,"17,200 SF",https://www.loopnet.com/Listing/2701-Barstow-Rd-Barstow-CA/21694356/,,,C,
99,For Sale,"6109 La Salle Ave, Oakland, CA","Oakland, California","$4,800,000",Retail,Retail,"6,636 SF",https://www.loopnet.com/Listing/6109-La-Salle-Ave-Oakland-CA/21632944/,,,,5.83%
100,For Sale,"996 Pleasant Grove Blvd, Roseville, CA","Roseville, California","$6,524,000",Retail,Freestanding,"12,900 SF",https://www.loopnet.com/Listing/996-Pleasant-Grove-Blvd-Roseville-CA/21579065/,,,,5.25%
101,For Sale,"23739 Lake Dr, Crestline, CA","Crestline, California","$1,300,000",Office,Medical,"8,284 SF",https://www.loopnet.com/Listing/23739-Lake-Dr-Crestline-CA/21553728/,,,C,
102,For Sale,"416 E 2nd St, Calexico, CA","Calexico, California","$435,722",Office,Office,"3,062 SF",https://www.loopnet.com/Listing/416-E-2nd-St-Calexico-CA/21530318/,,,,9.78%
103,For Sale,"Motivated Seller Freestanding Retail Building, Sherman Oaks, CA","Sherman Oaks, California","$1,495,000",Retail,Convenience,"2,890 SF",https://www.loopnet.com/Listing/Motivated-Seller-Freestanding-Retail-Building-Sherman-Oaks-CA/21344551/,,,C,
104,For Sale,"560 Eccles Ave, South San Francisco, CA","South San Francisco, California","$47,127,040",Flex,Flex,"21,552 SF",https://www.loopnet.com/Listing/560-Eccles-Ave-South-San-Francisco-CA/21168036/,,,,5.38%
105,For Sale,"3840 Rosin Ct, Sacramento, CA","Sacramento, California","$3,500,000",Office,Office,"47,865 SF",https://www.loopnet.com/Listing/3840-Rosin-Ct-Sacramento-CA/21122854/,,,B,
106,For Sale,"6436-6440 Oakdale Rd, Riverbank, CA","Riverbank, California","$6,500,000",Office,Office,"42,000 SF",https://www.loopnet.com/Listing/6436-6440-Oakdale-Rd-Riverbank-CA/20744879/,,,B,
107,For Sale,"665 Placerville Dr, Placerville, CA","Placerville, California","$1,500,000",Land,Commercial,,https://www.loopnet.com/Listing/665-Placerville-Dr-Placerville-CA/19614314/,,"250,034 SF",,
108,For Sale,"295 E Caroline St, San Bernardino, CA","San Bernardino, California","$10,939,000",Retail,Storefront Retail/Office,"66,737 SF",https://www.loopnet.com/Listing/295-E-Caroline-St-San-Bernardino-CA/19588084/,,,,6.15%
109,For Sale,"Holman Way, Sky Valley, CA","Sky Valley, California","$135,000",Land,Residential,,https://www.loopnet.com/Listing/Holman-Way-Sky-Valley-CA/19093551/,,"1,742,400 SF",,
110,For Sale,"Winding Way, Grizzly Flats, CA","Grizzly Flats, California","$522,000",Land,Residential,,https://www.loopnet.com/Listing/Winding-Way-Grizzly-Flats-CA/18966061/,,"3,484,800 SF",,
111,For Sale,"560 N D St, San Bernardino, CA","San Bernardino, California","$520,000",Office,Medical,"2,535 SF",https://www.loopnet.com/Listing/560-N-D-St-San-Bernardino-CA/18896055/,,,B,
112,For Sale,Portfolio of 5 Properties,"San Bernardino, California","$7,350,000",Retail,,"67,844 SF",https://www.loopnet.com/Listing/portfolio/18829999/,,"246,114 SF",,8.49%
113,For Sale,"31565 Hilltop Blvd, Running Springs, CA","Running Springs, California","$700,000",Retail,Freestanding,"5,264 SF",https://www.loopnet.com/Listing/31565-Hilltop-Blvd-Running-Springs-CA/18627342/,,,,4.41%
114,For Sale,"345 Crandell Avenue, Hayden, CO","Hayden, Colorado","$2,150,000",Land,Residential,,https://www.loopnet.com/Listing/345-Crandell-Avenue-Hayden-CO/23483972/,,"1,707,116 SF",,
115,For Sale,Portfolio of 3 Properties,"Commerce City, Colorado","$4,641,444",Land,,,https://www.loopnet.com/Listing/portfolio/23222332/,,"302,742 SF",,
116,For Sale,"5701 W 20th St, Greeley, CO","Greeley, Colorado","$3,250,000",Industrial,Industrial,"41,677 SF",https://www.loopnet.com/Listing/5701-W-20th-St-Greeley-CO/19523628/,,,B,
117,For Sale,"401-411 N Main St, Pueblo, CO","Pueblo, Colorado","$1,995,000",Retail,Storefront Retail/Office,"96,782 SF",https://www.loopnet.com/Listing/401-411-N-Main-St-Pueblo-CO/17328173/,,,C,
118,For Sale,"6032 Butte Mill Rd, Boulder, CO","Boulder, Colorado",Price Upon Request,Land,Industrial,,https://www.loopnet.com/Listing/6032-Butte-Mill-Rd-Boulder-CO/16040390/,,"182,952 SF",,
119,For Sale,"E 120th Ave, Commerce City, CO","Commerce City, Colorado","$1,562,933",Land,Commercial,,https://www.loopnet.com/Listing/E-120th-Ave-Commerce-City-CO/23221846/,,"130,244 SF",,
120,For Sale,"E 120th Ave @ Chambers, Commerce City, CO","Commerce City, Colorado","$1,782,933",Land,Commercial,,https://www.loopnet.com/Listing/E-120th-Ave-Chambers-Commerce-City-CO/23181299/,,"91,476 SF",,
121,For Sale,"E 120th Ave @ Chambers Rd, Commerce City, CO","Commerce City, Colorado","$1,295,579",Land,Commercial,,https://www.loopnet.com/Listing/E-120th-Ave-Chambers-Rd-Commerce-City-CO/23181242/,,"81,022 SF",,
122,For Sale,"20255 Monument Hill Rd, Monument, CO","Monument, Colorado","$2,500,000",Land,Commercial,,https://www.loopnet.com/Listing/20255-Monument-Hill-Rd-Monument-CO/19168768/,,"1,219,680 SF",,
123,For Sale,"702 W Drake Rd, Fort Collins, CO","Fort Collins, Colorado","$170,000",Land,Commercial,,https://www.loopnet.com/Listing/702-W-Drake-Rd-Fort-Collins-CO/16472963/,,"6,534 SF",,
124,For Sale,"I-25 & Meadows Pky, Castle Rock, CO","Castle Rock, Colorado",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/I-25-Meadows-Pky-Castle-Rock-CO/3830856/,,"13,111,560 SF",,
125,For Sale,"1161 S Perry St, Castle Rock, CO","Castle Rock, Colorado","$4,050,000",Office,Medical,"15,234 SF",https://www.loopnet.com/Listing/1161-S-Perry-St-Castle-Rock-CO/20060378/,,,,6.47%
150,For Sale,"90 S Park St, Willimantic, CT","Willimantic, Connecticut","$3,694,000",Industrial,Warehouse,"118,923 SF",https://www.loopnet.com/Listing/90-S-Park-St-Willimantic-CT/23190669/,,,C,
151,For Sale,"18 Locust Ave, New Canaan, CT","New Canaan, Connecticut","$12,500,000",Retail,Storefront Retail/Office,"8,425 SF",https://www.loopnet.com/Listing/18-Locust-Ave-New-Canaan-CT/22902320/,,,,3.53%
152,For Sale,"109 Foster St, Manchester, CT","Manchester, Connecticut","$735,000",Multifamily,Apartment,"7,494 SF",https://www.loopnet.com/Listing/109-Foster-St-Manchester-CT/22682078/,,,,
153,For Sale,"2 Scofieldtown Rd, Stamford, CT","Stamford, Connecticut","$4,500,000",Specialty,Religious Facility,"13,500 SF",https://www.loopnet.com/Listing/2-Scofieldtown-Rd-Stamford-CT/3616687/,,,B,
154,For Sale,"21 Leavenworth St, Waterbury, CT","Waterbury, Connecticut","$425,000",Retail,Restaurant,"6,600 SF",https://www.loopnet.com/Listing/21-Leavenworth-St-Waterbury-CT/23617856/,,,B,
155,For Sale,"531-535 W Main St, Norwich, CT","Norwich, Connecticut","$339,000",Office,Medical,"2,762 SF",https://www.loopnet.com/Listing/531-535-W-Main-St-Norwich-CT/21038627/,,,C,
156,For Sale,"51 Worthington Rdg, Berlin, CT","Berlin, Connecticut",$1.00,Industrial,Warehouse,"10,000 SF",https://www.loopnet.com/Listing/51-Worthington-Rdg-Berlin-CT/14493843/,,,B,
157,For Sale,"25 Montville Rd, Norwich, CT","Norwich, Connecticut","$489,500",Land,Commercial,,https://www.loopnet.com/Listing/25-Montville-Rd-Norwich-CT/20338879/,,"641,203 SF",,
174,For Sale,"Tharp Rd, Seaford, DE","Seaford, Delaware","$1,400,000",Land,Commercial,,https://www.loopnet.com/Listing/Tharp-Rd-Seaford-DE/17888984/,,"346,738 SF",,
175,For Sale,Portfolio of 10 Properties,Multiple Cities,"$4,779,671",Specialty,,"21,161 SF",https://www.loopnet.com/Listing/portfolio/17874675/,,,,5.93%
180,For Sale,"200 S Andrews Ave, Fort Lauderdale, FL","Fort Lauderdale, Florida","$4,800,000",Office,Office,"16,000 SF",https://www.loopnet.com/Listing/200-S-Andrews-Ave-Fort-Lauderdale-FL/8501193/,,,A,
181,For Sale,"6020 NW 13th Ave, Miami, FL","Miami, Florida","$3,850,000",Multifamily,Apartment,"11,769 SF",https://www.loopnet.com/Listing/6020-NW-13th-Ave-Miami-FL/22554377/,,,,
183,For Sale,"600 N Dixie Hwy, West Palm Beach, FL","West Palm Beach, Florida","$4,125,000",Retail,Bank,"1,463 SF",https://www.loopnet.com/Listing/600-N-Dixie-Hwy-West-Palm-Beach-FL/23735129/,,,,4%
184,For Sale,"37925 Church Ave, Dade City, FL","Dade City, Florida","$750,000",Office,Office,"8,456 SF",https://www.loopnet.com/Listing/37925-Church-Ave-Dade-City-FL/23619718/,,,C,
185,For Sale,"637 S Commerce Ave, Sebring, FL","Sebring, Florida","$375,000",Retail,Restaurant,"1,352 SF",https://www.loopnet.com/Listing/637-S-Commerce-Ave-Sebring-FL/23602781/,,,C,
186,For Sale,"7821 Little Rd, New Port Richey, FL","New Port Richey, Florida","$599,000",Land,Residential,,https://www.loopnet.com/Listing/7821-Little-Rd-New-Port-Richey-FL/23585476/,,"192,100 SF",,
187,For Sale,"6455 N Tropical Trl, Merritt Island, FL","Merritt Island, Florida","$1,750,000",Land,Commercial,,https://www.loopnet.com/Listing/6455-N-Tropical-Trl-Merritt-Island-FL/23430171/,,"1,280,664 SF",,
188,For Sale,"N Spring Garden Ave @ Clear Lake Dr, Deland, FL","Deland, Florida","$399,000",Land,Residential,,https://www.loopnet.com/Listing/N-Spring-Garden-Ave-Clear-Lake-Dr-Deland-FL/23403712/,,"286,189 SF",,
189,For Sale,"7767 Land O' Lakes Blvd, Land O Lakes, FL","Land O Lakes, Florida","$4,333,333",Retail,Convenience,"5,394 SF",https://www.loopnet.com/Listing/7767-Land-O-Lakes-Blvd-Land-O-Lakes-FL/23349538/,,,,4.50%
190,For Sale,"5690 Pan American Blvd, North Port, FL","North Port, Florida","$880,000",Land,Commercial,,https://www.loopnet.com/Listing/5690-Pan-American-Blvd-North-Port-FL/23311148/,,"143,748 SF",,
191,For Sale,"310 E Main St, Bartow, FL","Bartow, Florida","$995,000",Office,Office,"8,320 SF",https://www.loopnet.com/Listing/310-E-Main-St-Bartow-FL/23190216/,,,C,
192,For Sale,"7706 W Fairfield Dr, Pensacola, FL","Pensacola, Florida","$799,900",Multifamily,Apartment,"3,980 SF",https://www.loopnet.com/Listing/7706-W-Fairfield-Dr-Pensacola-FL/22901351/,,,,
193,For Sale,Portfolio of 6 Properties,"Gulf Breeze, Florida","$9,200,000",Office,,"55,478 SF",https://www.loopnet.com/Listing/portfolio/22760766/,,,,8.75%
194,For Sale,"330 Clematis St, West Palm Beach, FL","West Palm Beach, Florida","$300,000",Office,Office Live/Work,824 SF,https://www.loopnet.com/Listing/330-Clematis-St-West-Palm-Beach-FL/22694081/,,,,5.20%
195,For Sale,"114 S Duval St, Tallahassee, FL","Tallahassee, Florida","$1,450,000",Office,Office,"7,044 SF",https://www.loopnet.com/Listing/114-S-Duval-St-Tallahassee-FL/22658414/,,,B,
196,For Sale,"Hangar Ct & Hoover Blvd, Tampa, FL","Tampa, Florida","$3,950,000",Land,Industrial,,https://www.loopnet.com/Listing/Hangar-Ct-Hoover-Blvd-Tampa-FL/22600265/,,"284,882 SF",,
197,For Sale,"73 NE Eglin Pky NE, Fort Walton Beach, FL","Fort Walton Beach, Florida","$19,750,000",Office,Office,"79,438 SF",https://www.loopnet.com/Listing/73-NE-Eglin-Pky-NE-Fort-Walton-Beach-FL/22531387/,,,A,
198,For Sale,"2652-2668 S Airport Pulling Rd S, Naples, FL","Naples, Florida","$118,000",Office,Medical,788 SF,https://www.loopnet.com/Listing/2652-2668-S-Airport-Pulling-Rd-S-Naples-FL/22249088/,,,B,
199,For Sale,"800 W Monroe St, Jacksonville, FL","Jacksonville, Florida","$2,799,000",Office,Office,"21,960 SF",https://www.loopnet.com/Listing/800-W-Monroe-St-Jacksonville-FL/22207691/,,,B,
200,For Sale,"2390 NW 62nd St, Miami, FL","Miami, Florida","$999,999",Land,Commercial,,https://www.loopnet.com/Listing/2390-NW-62nd-St-Miami-FL/22135129/,,"31,206 SF",,
201,For Sale,"1300 Brickell Bay Dr, Miami, FL","Miami, Florida","$5,850,000",Retail,Restaurant,"5,041 SF",https://www.loopnet.com/Listing/1300-Brickell-Bay-Dr-Miami-FL/22130884/,,,,4.48%
202,For Sale,"831 E Okeechobee Rd, Hialeah, FL","Hialeah, Florida","$6,500,000",Retail,Storefront Retail/Office,"16,957 SF",https://www.loopnet.com/Listing/831-E-Okeechobee-Rd-Hialeah-FL/22111699/,,,C,
203,For Sale,"NE Corner of US 301 (Gall Blvd) and C Avenue, Zephyrhills, FL","Zephyrhills, Florida","$1,650,000",Land,Commercial,,https://www.loopnet.com/Listing/NE-Corner-of-US-301-Gall-Blvd-and-C-Avenue-Zephyrhills-FL/22107580/,,"276,170 SF",,
204,For Sale,"2520-2550 Dr. Martin Luther King Jr. Blvd, Fort Myers, FL","Fort Myers, Florida","$899,000",Land,Industrial,,https://www.loopnet.com/Listing/2520-2550-Dr-Martin-Luther-King-Jr-Blvd-Fort-Myers-FL/21982910/,,"60,113 SF",,
205,For Sale,"901 E Moody Blvd, Bunnell, FL","Bunnell, Florida","$3,595,000",Office,Medical,"39,207 SF",https://www.loopnet.com/Listing/901-E-Moody-Blvd-Bunnell-FL/21556703/,,,B,
206,For Sale,"37905 WDCF Dr, Dade City, FL","Dade City, Florida","$949,500",Land,Residential,,https://www.loopnet.com/Listing/37905-WDCF-Dr-Dade-City-FL/21390087/,,"435,600 SF",,
207,For Sale,"3080 Tamiami Trl E, Naples, FL","Naples, Florida","$525,850 - $1,631,000",Office,Office,N/A,https://www.loopnet.com/Listing/3080-Tamiami-Trl-E-Naples-FL/21288154/,,,A,
208,For Sale,"7420 NW 5th St, Plantation, FL","Plantation, Florida","$3,650,000",Office,Medical,"15,000 SF",https://www.loopnet.com/Listing/7420-NW-5th-St-Plantation-FL/21269152/,,,,6.50%
209,For Sale,"2000 Vindale Rd, Tavares, FL","Tavares, Florida","$429,000",Land,Commercial,,https://www.loopnet.com/Listing/2000-Vindale-Rd-Tavares-FL/21222353/,,"57,064 SF",,
210,For Sale,Portfolio of 8 Properties,Multiple Cities,"$1,000,000",Mixed Types,,"10,780 SF",https://www.loopnet.com/Listing/portfolio/20490111/,,,,10.92%
211,For Sale,"2201 Ringling Blvd, Sarasota, FL","Sarasota, Florida","$2,350,000",Office,Office,"7,792 SF",https://www.loopnet.com/Listing/2201-Ringling-Blvd-Sarasota-FL/20392338/,,,B,
212,For Sale,"2520 Commerce Pkwy, Bunnell, FL","Bunnell, Florida","$289,500",Land,Commercial,,https://www.loopnet.com/Listing/2520-Commerce-Pkwy-Bunnell-FL/19877367/,,"57,064 SF",,
213,For Sale,"US Hwy 1, Rockledge, FL","Rockledge, Florida","$499,900",Land,Commercial,,https://www.loopnet.com/Listing/US-Hwy-1-Rockledge-FL/19768753/,,"191,664 SF",,
214,For Sale,"7950 NW 53rd St, Doral, FL","Doral, Florida","$599,999",Office,Medical,"1,325 SF",https://www.loopnet.com/Listing/7950-NW-53rd-St-Doral-FL/19758362/,,,A,
215,For Sale,"9005 State Road 52, Hudson, FL","Hudson, Florida","$5,990,000",Retail,Bank,"4,640 SF",https://www.loopnet.com/Listing/9005-State-Road-52-Hudson-FL/19174247/,,,,6.50%
216,For Sale,"1629 Jackson St, Fort Myers, FL","Fort Myers, Florida","$729,000",Land,Commercial,,https://www.loopnet.com/Listing/1629-Jackson-St-Fort-Myers-FL/19033272/,,"16,344 SF",,
217,For Sale,Portfolio of 2 Properties,"Sanford, Florida","$1,275,000",Retail,,"3,270 SF",https://www.loopnet.com/Listing/portfolio/18768994/,,"55,757 SF",,7.09%
218,For Sale,"7701 Little Rd, New Port Richey, FL","New Port Richey, Florida","$375,000 - $1,385,000",Office,Medical,N/A,https://www.loopnet.com/Listing/7701-Little-Rd-New-Port-Richey-FL/18338165/,,,A,
219,For Sale,"530 12th St, Bradenton, FL","Bradenton, Florida","$1,300,000",Office,Office,"5,712 SF",https://www.loopnet.com/Listing/530-12th-St-Bradenton-FL/18001030/,,,C,
220,For Sale,"37621 Eiland Blvd, Zephyrhills, FL","Zephyrhills, Florida","$2,075,000",Land,Commercial,,https://www.loopnet.com/Listing/37621-Eiland-Blvd-Zephyrhills-FL/17968545/,,"914,760 SF",,
